business_id,time,type
nhZ1HGWD8lMErdn3FuWuTQ,"['Fri-0:1', 'Sat-0:1', 'Sun-0:1', 'Thu-0:1', 'Wed-0:1', 'Fri-1:1', 'Sat-1:1', 'Tue-1:1', 'Mon-2:1', 'Sun-2:1', 'Thu-2:1', 'Sat-3:1', 'Thu-3:1', 'Wed-3:1', 'Mon-17:1', 'Sat-17:1', 'Sun-17:2', 'Tue-17:1', 'Fri-18:1', 'Mon-18:1', 'Sun-18:1', 'Mon-19:1', 'Mon-20:3', 'Sat-20:1', 'Thu-20:1', 'Mon-21:1', 'Thu-21:1', 'Sat-22:3', 'Sun-22:1', 'Tue-22:3', 'Wed-22:1', 'Sat-23:2', 'Tue-23:3']",checkin
BH0K6SxPnY3wTRB7tA27hQ,"['Fri-0:1', 'Sun-0:1', 'Wed-0:1', 'Sun-1:2', 'Tue-1:2', 'Sat-2:1', 'Sat-15:1', 'Fri-17:2', 'Sat-17:1', 'Thu-17:1', 'Tue-17:1', 'Wed-17:1', 'Sat-18:1', 'Sun-19:1', 'Thu-19:2', 'Fri-22:2', 'Sun-22:2', 'Thu-22:1', 'Tue-22:1', 'Fri-23:1', 'Sat-23:1', 'Thu-23:1', 'Tue-23:2', 'Wed-23:2']",checkin
dPxL6P_Gp74CqSPuL59Srg,"['Tue-0:2', 'Wed-0:1', 'Wed-2:1', 'Mon-10:1', 'Fri-11:2', 'Fri-13:1', 'Sun-13:1', 'Thu-13:1', 'Sat-14:1', 'Sun-14:3', 'Thu-14:1', 'Tue-14:1', 'Wed-14:2', 'Sat-15:1', 'Sun-15:3', 'Thu-15:1', 'Tue-15:1', 'Fri-16:1', 'Sat-16:3', 'Sun-16:8', 'Wed-16:1', 'Sun-17:2', 'Thu-17:1', 'Sun-18:2', 'Thu-18:1', 'Sat-19:1', 'Sat-20:1', 'Sun-21:1', 'Thu-22:1', 'Tue-22:1', 'Mon-23:1', 'Sun-23:1', 'Tue-23:1']",checkin
HRIUU2Z4EsZBo59P0I2ZYA,"['Fri-0:1', 'Tue-0:1', 'Mon-1:1', 'Sun-1:1', 'Tue-1:1', 'Sun-3:1', 'Sat-16:1', 'Sat-19:1', 'Sun-20:1', 'Sun-22:1', 'Mon-23:2', 'Sat-23:1', 'Tue-23:1', 'Wed-23:2']",checkin
Y6L37i6rkqDzMesTN5UI2Q,"['Thu-0:1', 'Tue-0:2', 'Wed-0:2', 'Fri-1:1', 'Thu-1:2', 'Fri-17:3', 'Mon-17:2', 'Sat-17:1', 'Thu-17:2', 'Wed-17:1', 'Fri-18:1', 'Sun-18:1', 'Sat-19:1', 'Sun-19:1', 'Thu-19:2', 'Tue-19:1', 'Fri-20:2', 'Sun-20:3', 'Thu-20:2', 'Tue-20:1', 'Fri-21:6', 'Mon-21:4', 'Sat-21:1', 'Sun-21:1', 'Thu-21:3', 'Tue-21:2', 'Wed-21:2', 'Fri-22:4', 'Mon-22:1', 'Sun-22:1', 'Thu-22:1', 'Tue-22:4', 'Wed-22:4', 'Fri-23:4', 'Sat-23:2', 'Thu-23:4', 'Tue-23:3', 'Wed-23:2']",checkin
FQM4pVt1jeZcBGLIsXhXNA,"['Sat-0:1', 'Sun-0:1', 'Thu-0:1', 'Tue-0:1', 'Wed-0:2', 'Thu-1:2', 'Fri-2:1', 'Sun-2:1', 'Thu-2:1', 'Sun-3:1', 'Tue-14:1', 'Thu-18:1', 'Mon-21:1', 'Sat-21:1', 'Tue-21:1', 'Fri-22:1', 'Mon-22:1', 'Sat-22:2', 'Thu-22:1', 'Tue-22:1', 'Wed-22:3', 'Fri-23:1', 'Mon-23:2', 'Sat-23:1', 'Wed-23:1']",checkin
0WsCtzG8xazAmFA5HhQE0A,"['Sun-0:2', 'Thu-0:1', 'Sat-1:1', 'Sun-1:1', 'Mon-15:1', 'Sun-20:1', 'Fri-21:1', 'Sat-21:1', 'Mon-22:1', 'Tue-22:1', 'Sat-23:3', 'Sun-23:1']",checkin
JN6287XepTV2wOiwnq5joA,"['Wed-0:1', 'Tue-21:1', 'Sat-23:1']",checkin
IKCxhUxfDPOQw9GjT3akHA,"['Sun-0:2', 'Thu-0:2', 'Wed-0:2', 'Sat-1:1', 'Sun-1:1', 'Thu-1:1', 'Wed-2:1', 'Sat-4:1', 'Tue-4:1', 'Tue-15:1', 'Fri-18:1', 'Fri-19:1', 'Sun-21:1', 'Fri-23:2', 'Sun-23:1']",checkin
0dcNFXs5yMj1n2RtkgIoHg,"['Tue-0:2', 'Sat-1:1', 'Thu-1:1', 'Tue-1:3', 'Sat-16:1', 'Sat-17:1', 'Wed-17:1', 'Mon-18:1', 'Sat-19:1', 'Sun-19:1', 'Mon-21:3', 'Tue-21:1', 'Wed-21:1', 'Mon-22:3', 'Tue-22:1', 'Mon-23:2', 'Wed-23:3']",checkin
