business_id,user_id,date,text,likes,type
jH19V2I9fIslnNhDzPmdkA,ZcLKXikTHYOnYt5VYRO5sg,2015-08-12,Great breakfast large portions and friendly waitress. I highly recommend it,0,tip
dAa0hB2yrnHzVmsCkN4YvQ,oaYhjqBbh18ZhU0bpyzSuw,2014-06-20,Nice place. Great staff.  A fixture in the township forever,0,tip
dAa0hB2yrnHzVmsCkN4YvQ,ulQ8Nyj7jCUR8M83SUMoRQ,2016-10-12,Happy hour 5-7 Monday - Friday,0,tip
SqW3igh1_Png336VIb5DUA,ulQ8Nyj7jCUR8M83SUMoRQ,2016-07-03,Come early on Sunday's to avoid the rush,0,tip
KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ,2016-01-07,Love their soup!,0,tip
KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ,2016-05-22,Soups are fantastic!,0,tip
KNpcPGqDORDdvtekXd348w,ulQ8Nyj7jCUR8M83SUMoRQ,2016-06-09,Thursday night is $5 burger night,0,tip
8qNOI6Q1-rJrvWWD5Btz6w,ulQ8Nyj7jCUR8M83SUMoRQ,2016-06-01,"Very good for lunch, bread and soup are excellent",0,tip
8qNOI6Q1-rJrvWWD5Btz6w,ulQ8Nyj7jCUR8M83SUMoRQ,2016-06-14,Tuesday spaghetti special  all day $5.59 includes soup or salad and bread,0,tip
--ujyvoQlwVoBgMYtADiLA,ulQ8Nyj7jCUR8M83SUMoRQ,2016-08-22,"Sunday $.55 bone-in wings
Monday $.55 boneless wings",0,tip
Tl_jT2a0bRMac5_YW65GPg,ulQ8Nyj7jCUR8M83SUMoRQ,2016-06-13,Nice happy hour m-f 5-7pm and th-fr 10pm-12am,0,tip
Tl_jT2a0bRMac5_YW65GPg,ulQ8Nyj7jCUR8M83SUMoRQ,2016-06-30,"Always have something new on the inter menu, love trying new things here :)",0,tip
c5NHHW0sNm7eaQBwvQJkkw,ulQ8Nyj7jCUR8M83SUMoRQ,2015-10-28,Brisket sandwich not bad but ask for extra napkins it was quite messy and if you like the taste of bbq ask for extra sauce  on the side...burger a little over cooked...nice restaurant  was very clean,0,tip
zJwm3DThV4WUIkyNv68Ahw,ulQ8Nyj7jCUR8M83SUMoRQ,2016-02-11,Double wide does offer free charging stations for phones,0,tip
JzB7NITHQ7gVHGVZ1ntgIQ,TvkqJ8YEIsTb16RnnrNyfQ,2012-12-03,Black Angus and the Roast beef :),0,tip
h14GmWZ8rXum9fXF__wt3w,TvkqJ8YEIsTb16RnnrNyfQ,2012-12-02,"Expensive, but convenient for hotel stays",0,tip
xFN8mRubo3G0oIzJwc8XBA,TvkqJ8YEIsTb16RnnrNyfQ,2012-03-28,"Finally, found some churros. Four types here. It should be great!",0,tip
